"filename", "language", "JSON", "GameMaker Studio 2 YY Config", "GameMaker Language(GameMaker Studio 2)", "Ini", "OpenGL Shading Language", "GameMaker Studio 2 YY Project Config", "Markdown", "comment", "blank", "total"
"/home/willfarhat/Desktop/Projects/Outset/Outset.yyp", "GameMaker Studio 2 YY Project Config", 0, 0, 0, 0, 0, 1203, 0, 0, 0, 1203
"/home/willfarhat/Desktop/Projects/Outset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"/home/willfarhat/Desktop/Projects/Outset/animcurves/FTF_EaseInElastic/FTF_EaseInElastic.yy", "GameMaker Studio 2 YY Config", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"/home/willfarhat/Desktop/Projects/Outset/animcurves/FTF_EaseInExpo/FTF_EaseInExpo.yy", "GameMaker Studio 2 YY Config", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"/home/willfarhat/Desktop/Projects/Outset/animcurves/FTF_EaseOutElastic/FTF_EaseOutElastic.yy", "GameMaker Studio 2 YY Config", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"/home/willfarhat/Desktop/Projects/Outset/animcurves/FTF_EaseOutExpo/FTF_EaseOutExpo.yy", "GameMaker Studio 2 YY Config", 0, 18, 0, 0, 0, 0, 0, 0, 0, 18
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/characters.json", "JSON", 650, 0, 0, 0, 0, 0, 0, 0, 0, 650
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishAir.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 30
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishC1.json", "JSON", 482, 0, 0, 0, 0, 0, 0, 0, 21, 503
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishDeep.json", "JSON", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishHud.json", "JSON", 229, 0, 0, 0, 0, 0, 0, 0, 3, 232
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishIsland.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishNotdon.json", "JSON", 73, 0, 0, 0, 0, 0, 0, 0, 7, 80
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishPrologue.json", "JSON", 530, 0, 0, 0, 0, 0, 0, 0, 42, 572
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/english/englishWastes.json", "JSON", 235, 0, 0, 0, 0, 0, 0, 0, 17, 252
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/options.ini", "Ini", 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/willfarhat/Desktop/Projects/Outset/builds/OutsetBuildTest/pathfinding.json", "JSON", 152, 0, 0, 0, 0, 0, 0, 0, 15, 167
"/home/willfarhat/Desktop/Projects/Outset/extensions/NekoPresence/NekoPresence.gml", "GameMaker Language(GameMaker Studio 2)", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"/home/willfarhat/Desktop/Projects/Outset/extensions/NekoPresence/NekoPresence.yy", "GameMaker Studio 2 YY Config", 0, 154, 0, 0, 0, 0, 0, 0, 0, 154
"/home/willfarhat/Desktop/Projects/Outset/fonts/extralarge1440/extralarge1440.yy", "GameMaker Studio 2 YY Config", 0, 138, 0, 0, 0, 0, 0, 0, 0, 138
"/home/willfarhat/Desktop/Projects/Outset/fonts/extralarge1440/large1440.yy", "GameMaker Studio 2 YY Config", 0, 137, 0, 0, 0, 0, 0, 0, 0, 137
"/home/willfarhat/Desktop/Projects/Outset/fonts/extralarge1440/med1440.old.yy", "GameMaker Studio 2 YY Config", 0, 137, 0, 0, 0, 0, 0, 0, 0, 137
"/home/willfarhat/Desktop/Projects/Outset/fonts/extralarge1440/med1440.yy", "GameMaker Studio 2 YY Config", 0, 137, 0, 0, 0, 0, 0, 0, 0, 137
"/home/willfarhat/Desktop/Projects/Outset/fonts/extralarge1440/small1440.old.yy", "GameMaker Studio 2 YY Config", 0, 137, 0, 0, 0, 0, 0, 0, 0, 137
"/home/willfarhat/Desktop/Projects/Outset/fonts/extralarge1440/small1440.yy", "GameMaker Studio 2 YY Config", 0, 137, 0, 0, 0, 0, 0, 0, 0, 137
"/home/willfarhat/Desktop/Projects/Outset/fonts/harold1440/harold1440.yy", "GameMaker Studio 2 YY Config", 0, 138, 0, 0, 0, 0, 0, 0, 0, 138
